"","accuracy","heading","latitude","longitude","speed","timestamp"
"226",4,0,39.988153,-83.0325027,0,1516232037
"227",4,0,39.9881533,-83.032503,0,1516232038
"228",4,0,39.9881528,-83.0325027,0,1516232039
"229",4,0,39.9881534,-83.0325019,0,1516232040
"230",4,0,39.9881532,-83.0325009,0,1516232041
"231",3.9,0,39.988154,-83.0325001,0,1516232042
"232",3.9,0,39.988155,-83.0324997,0,1516232043
"233",3.9,0,39.988156,-83.0325,0,1516232044
"234",3.9,0,39.9881571,-83.0324996,0,1516232045
"235",3.9,0,39.9881574,-83.0324993,0,1516232046
"236",3.9,0,39.9881576,-83.032499,0,1516232047
"237",3.9,0,39.9881578,-83.0324988,0,1516232048
"238",3.9,0,39.9881578,-83.0324986,0,1516232049
"239",4,0,39.9881578,-83.0324986,0,1516232050
"240",4,0,39.9881578,-83.0324985,0,1516232051
"241",3.9,0,39.9881577,-83.0324985,0,1516232052
"242",4,0,39.9881576,-83.0324986,0,1516232053
"243",4,0,39.9881576,-83.0324986,0,1516232054
"244",5,0,39.9881576,-83.0324987,0,1516232055
"245",5,0,39.9881576,-83.0324987,0,1516232056
"246",5,0,39.9881577,-83.0324985,0,1516232057
"247",5,0,39.9881576,-83.0324984,0,1516232058
"248",5,94,39.9881598,-83.0324943,0.81,1516232059
"249",5,94,39.9881599,-83.0324824,1.41,1516232060
"250",5,94,39.9881589,-83.0324638,1.86,1516232061
"251",5,95,39.9881575,-83.032436,3.04,1516232062
"252",4,92,39.9881566,-83.0323948,4,1516232063
"253",4,93,39.9881516,-83.0323434,4.87,1516232064
"254",4,93,39.9881348,-83.0322832,5.31,1516232065
"255",4,93,39.9881311,-83.0322167,5.71,1516232066
"256",4,93,39.9881316,-83.032139,6.68,1516232067
"257",4,93,39.9881324,-83.0320554,7.02,1516232068
"258",5,93,39.9881298,-83.0319751,6.88,1516232069
"259",5,92,39.9881268,-83.0318946,6.87,1516232070
"260",4,95,39.9881051,-83.0318075,6.62,1516232071
"261",4,93,39.9881051,-83.0317316,6.41,1516232072
"262",4,93,39.9881065,-83.0316553,6.89,1516232073
"263",4,93,39.9881026,-83.0315638,7.71,1516232074
"264",3.9,93,39.9881017,-83.0314636,8.37,1516232075
"265",3.9,92,39.9880976,-83.0313658,8.37,1516232076
"266",4,92,39.9880728,-83.0312532,8.03,1516232077
"267",4,93,39.9880571,-83.0311785,7.7,1516232078
"268",4,93,39.9880523,-83.031081,7.59,1516232079
"269",4,93,39.9880454,-83.0309882,8.43,1516232080
"270",4,94,39.9880374,-83.0308982,8.36,1516232081
"271",5,94,39.9880325,-83.030794,8.33,1516232082
"272",5,94,39.9880258,-83.0306969,8.79,1516232083
"273",5,94,39.9880208,-83.0305949,9.1,1516232084
"274",5,93,39.9880224,-83.0304891,8.91,1516232085
"275",5,92,39.9880176,-83.030394,8.74,1516232086
"276",4,92,39.988019,-83.0302949,8.32,1516232087
"277",4,93,39.9880134,-83.0302071,8.86,1516232088
"278",4,93,39.9879946,-83.0300996,9.58,1516232089
"279",4,92,39.9879912,-83.0299855,9.66,1516232090
"280",4,93,39.9879914,-83.0298631,11.25,1516232091
"281",4,93,39.9879883,-83.02972,12.35,1516232092
"282",3.9,93,39.9879731,-83.0295721,12.17,1516232093
"283",4,92,39.9879716,-83.0294243,11.7,1516232094
"284",3.9,93,39.9879661,-83.0292928,11.16,1516232095
"285",3.9,92,39.9879627,-83.0291674,11.03,1516232096
"286",3.9,94,39.9879553,-83.0290513,10.73,1516232097
"287",3.9,94,39.9879458,-83.0289321,9.68,1516232098
"288",3.9,94,39.9879357,-83.0288281,8.96,1516232099
"289",3.9,93,39.9879324,-83.0287323,8.43,1516232100
"290",3.9,93,39.9879276,-83.0286358,7.71,1516232101
"291",3.9,93,39.987925,-83.0285546,6.98,1516232102
"292",3.9,93,39.9879237,-83.0284727,6.7,1516232103
"293",3.9,93,39.9879231,-83.0284001,6.4,1516232104
"294",4,93,39.9879217,-83.028325,6.27,1516232105
"295",4,94,39.9879153,-83.0282326,6.37,1516232106
"296",4,93,39.9879235,-83.0281588,6.58,1516232107
"297",3.9,92,39.9879313,-83.028084,7,1516232108
"298",4,92,39.98793,-83.0280061,5.76,1516232109
"299",4,92,39.987927,-83.0279451,4.55,1516232110
"300",3.9,91,39.9879278,-83.0278938,4.03,1516232111
"301",4,91,39.9879399,-83.0278651,3.42,1516232112
"302",4,90,39.9879384,-83.0278271,3.32,1516232113
"303",4,91,39.9879435,-83.0277953,3.64,1516232114
"304",4,92,39.9879358,-83.0277529,4.12,1516232115
"305",4,92,39.9879399,-83.027699,4.48,1516232116
"306",5,91,39.9879409,-83.0276481,4.6,1516232117
"307",4,92,39.98794,-83.0275939,4.91,1516232118
"308",4,92,39.9879269,-83.0275363,5.48,1516232119
"309",5,92,39.9879216,-83.0274581,6.83,1516232120
"310",5,92,39.987918,-83.0273578,8.44,1516232121
"311",5,92,39.9879199,-83.0272479,8.97,1516232122
"312",5,93,39.9879158,-83.0271469,8.95,1516232123
"313",6,93,39.9879108,-83.0270422,8.95,1516232124
"314",6,93,39.9879006,-83.0269535,8.02,1516232125
"315",7,94,39.9878949,-83.0268664,7.38,1516232126
"316",8,94,39.98789,-83.0267802,7.38,1516232127
"317",7,93,39.9878886,-83.026717,6.53,1516232128
"318",5,94,39.9878869,-83.0266535,5.58,1516232129
"319",5,94,39.9878826,-83.0266106,4.6,1516232130
"320",4,94,39.9878734,-83.0265626,3.92,1516232131
"321",4,94,39.9878622,-83.0265137,3.19,1516232132
"322",4,94,39.9878592,-83.026488,2.2,1516232133
"323",4,94,39.9878576,-83.0264622,2.2,1516232134
"324",4,94,39.9878588,-83.0264588,0.87,1516232135
"325",4,94,39.9878577,-83.0264513,0.36,1516232136
"326",4,94,39.9878573,-83.026447,0.36,1516232137
"327",4,0,39.9878552,-83.0264469,0,1516232138
"328",4,0,39.9878576,-83.0264457,0,1516232139
"329",4,0,39.9878584,-83.0264436,0,1516232140
"330",4,0,39.9878593,-83.0264431,0,1516232141
"331",4,0,39.9878576,-83.0264425,0,1516232142
